SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME
stttyr2,Gubernetes_yetapa,Streamer-tailed_Tyrant
sttwre1,Cantorchilus_leucopogon,Stripe-throated_Wren
stvhum1,Amazilia_saucerottei,Steely-vented_Hummingbird
stvpar1,Amazona_guildingii,St._Vincent_Parrot
stwqua1,Odontophorus_stellatus,Starred_Wood-Quail
styfin1,Sicalis_citrina,Stripe-tailed_Yellow-Finch
styowl1,Asio_stygius,Stygian_Owl
subdor1,Pseudocolopteryx_acutipennis,Subtropical_Doradito
subfly,Myiodynastes_luteiventris,Sulphur-bellied_Flycatcher
subpar1,Aratinga_maculata,Sulphur-breasted_Parakeet
subtyr1,Mecocerculus_minor,Sulphur-bellied_Tyrannulet
sucant1,Chamaeza_meruloides,Such's_Antthrush
succoc,Cacatua_galerita,Sulphur-crested_Cockatoo
suifly1,Suiriri_suiriri,Suiriri_Flycatcher
sulfly1,Tyrannopsis_sulphurea,Sulphury_Flycatcher
sumtan,Piranga_rubra,Summer_Tanager
sumwre1,Hylorchilus_sumichrasti,Sumichrast's_Wren
sunbit1,Eurypyga_helias,Sunbittern
sungre1,Heliornis_fulica,Sungrebe
sunpar1,Aratinga_solstitialis,Sun_Parakeet
suphem1,Hemispingus_superciliaris,Superciliaried_Hemispingus
supowl1,Glaucidium_parkeri,Subtropical_Pygmy-Owl
supwre1,Cantorchilus_superciliaris,Superciliated_Wren
surcin1,Cinclodes_taczanowskii,Surf_Cinclodes
surfbi,Calidris_virgata,Surfbird
surfly1,Myiobius_sulphureipygius,Sulphur-rumped_Flycatcher
sursco,Melanitta_perspicillata,Surf_Scoter
surtan1,Heterospingus_rubrifrons,Sulphur-rumped_Tanager
surtro1,Trogon_surrucura,Surucua_Trogon
sutfin1,Sicalis_taczanowskii,Sulphur-throated_Finch
sutspi1,Cranioleuca_sulphurifera,Sulphur-throated_Spinetail
suwpar1,Pyrrhura_hoffmanni,Sulphur-winged_Parakeet
swafly1,Myiarchus_swainsoni,Swainson's_Flycatcher
swahar1,Circus_approximans,Swamp_Harrier
swahaw,Buteo_swainsoni,Swainson's_Hawk
swaspa,Melospiza_georgiana,Swamp_Sparrow
